County,2020,2021,2022,2023,2024
".Anderson County, Tennessee","77,327","77,632","79,016","80,343","81,449"
".Bedford County, Tennessee","50,396","51,201","52,088","53,274","54,228"
".Benton County, Tennessee","15,853","15,836","16,001","16,167","16,173"
".Bledsoe County, Tennessee","14,955","14,839","14,769","15,008","15,591"
".Blount County, Tennessee","135,656","137,624","139,789","141,384","142,211"
".Bradley County, Tennessee","108,831","109,766","110,814","112,132","113,782"
".Campbell County, Tennessee","39,306","39,457","39,578","40,225","40,238"
".Cannon County, Tennessee","14,561","14,537","14,797","15,051","15,142"
".Carroll County, Tennessee","28,428","28,291","28,431","28,950","29,107"
".Carter County, Tennessee","56,386","56,095","56,531","57,112","57,434"
".Cheatham County, Tennessee","41,090","41,460","41,742","42,247","42,604"
".Chester County, Tennessee","17,385","17,475","17,599","17,722","17,876"
".Claiborne County, Tennessee","32,066","32,055","32,400","32,738","33,070"
".Clay County, Tennessee","7,594","7,591","7,635","7,672","7,857"
".Cocke County, Tennessee","36,043","36,367","36,786","37,272","37,596"
".Coffee County, Tennessee","58,145","58,986","59,663","60,472","61,285"
".Crockett County, Tennessee","13,905","13,988","13,862","13,991","13,973"
".Cumberland County, Tennessee","61,372","62,391","63,537","64,848","65,618"
".Davidson County, Tennessee","716,095","700,966","711,280","719,092","729,505"
".Decatur County, Tennessee","11,433","11,408","11,546","11,709","11,800"
".DeKalb County, Tennessee","20,191","20,506","21,013","21,337","21,747"
".Dickson County, Tennessee","54,453","55,194","55,793","56,835","57,641"
".Dyer County, Tennessee","36,709","36,605","36,392","36,432","36,403"
".Fayette County, Tennessee","41,865","42,615","43,296","44,082","44,476"
".Fentress County, Tennessee","18,534","18,839","19,336","19,708","20,129"
".Franklin County, Tennessee","42,812","43,161","44,156","44,682","45,137"
".Gibson County, Tennessee","50,447","50,471","50,855","51,152","51,422"
".Giles County, Tennessee","30,344","30,411","30,560","30,815","30,971"
".Grainger County, Tennessee","23,569","23,801","24,191","24,697","25,073"
".Greene County, Tennessee","70,348","70,570","71,279","72,546","73,398"
".Grundy County, Tennessee","13,548","13,595","13,813","13,992","14,148"
".Hamblen County, Tennessee","64,542","64,361","65,263","66,466","67,715"
".Hamilton County, Tennessee","367,891","369,678","375,861","381,272","386,256"
".Hancock County, Tennessee","6,626","6,794","6,838","6,963","7,038"
".Hardeman County, Tennessee","25,438","25,266","25,493","25,523","25,434"
